,% who are economically inactive - aged 16-64,Jan 2004-Dec 2004,,,,Jan 2005-Dec 2005,,,,Jan 2006-Dec 2006,,,,Jan 2007-Dec 2007,,,,Jan 2008-Dec 2008,,,,Jan 2009-Dec 2009,,,,Jan 2010-Dec 2010,,,,Jan 2011-Dec 2011,,,,Jan 2012-Dec 2012,,,,Jan 2013-Dec 2013,,,,Jan 2014-Dec 2014,,,,Jan 2015-Dec 2015,,,,Jan 2016-Dec 2016,,,,Jan 2017-Dec 2017,,,,Jan 2018-Dec 2018,,,,Jan 2019-Dec 2019,,,
Code,Area,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence,Economically Inactive,Working age,percent,confidence
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,!,!,!,!,#,"3,600",35.6,*,!,!,!,!,!,"1,400",!,!,!,"1,200",!,!,!,!,!,-,!,#,!,!,!,!,!,!,!,!,!,!,!,#,!,!,!,#,!,!,"2,000","3,600",55.5,*,!,"2,700",!,!,"2,600","5,900",44.2,*,!,"3,200",!,!,!,!,!,!
E09000010,Enfield,"32,300","92,600",34.8,5.5,"33,600","92,200",36.4,5.8,"32,900","94,000",35.0,5.4,"39,700","96,900",40.9,5.6,"37,900","98,900",38.4,5.1,"41,900","100,800",41.6,4.9,"40,600","101,200",40.1,4.9,"35,800","105,300",34.0,5.1,"38,800","105,500",36.8,5.6,"38,000","106,200",35.8,5.5,"34,700","107,100",32.4,5.5,"34,200","108,600",31.5,5.3,"33,900","108,100",31.4,5.7,"35,300","112,900",31.3,5.7,"38,400","110,200",34.8,6.2,37400,111900,33.4,6.5
E09000011,Greenwich,"25,900","76,400",33.9,5.0,"27,600","78,300",35.2,5.1,"26,000","80,200",32.4,5.4,"28,200","80,200",35.1,5.2,"31,600","81,100",38.9,5.8,"34,200","82,200",41.6,5.5,"29,500","84,700",34.9,5.1,"27,900","85,300",32.7,5.0,"25,100","86,800",28.9,5.1,"30,500","88,400",34.5,5.7,"29,100","88,500",32.8,6.0,"24,400","92,300",26.4,5.3,"25,600","92,100",27.8,5.8,"27,800","93,700",29.6,5.4,"28,500","96,900",29.5,5.8,23400,97100,24.1,5.3
E09000012,Hackney,"36,300","73,900",49.0,5.3,"36,900","75,400",49.0,5.5,"33,100","77,000",43.0,5.2,"29,100","80,000",36.4,4.9,"26,900","82,100",32.8,4.9,"25,700","85,600",30.1,4.8,"26,300","88,900",29.6,5.0,"27,500","90,700",30.3,4.8,"33,300","92,700",36.0,5.1,"35,900","94,200",38.1,5.3,"28,600","96,300",29.8,4.9,"30,100","97,600",30.9,5.1,"27,900","99,600",28.0,5.1,"33,200","101,100",32.8,5.7,"34,400","102,000",33.8,5.7,29300,104300,28.1,5.5
E09000013,Hammersmith and Fulham,"22,100","64,000",34.5,5.9,"18,700","64,800",28.8,4.6,"19,400","66,600",29.1,4.9,"20,400","66,700",30.6,5.4,"19,800","66,400",29.8,5.3,"20,800","67,900",30.7,5.4,"25,200","68,700",36.7,5.5,"24,200","69,000",35.1,4.9,"23,100","68,200",34.0,5.0,"21,300","68,300",31.2,5.0,"18,300","66,900",27.4,4.8,"15,000","65,700",22.9,4.8,"18,800","65,700",28.7,5.6,"16,600","65,200",25.4,5.7,"15,000","62,700",23.9,5.7,18900,62200,30.5,6.5
E09000014,Haringey,"32,500","78,600",41.3,4.7,"29,000","79,800",36.3,4.8,"28,200","82,800",34.1,5.1,"29,900","83,200",36.0,5.3,"37,100","86,800",42.7,5.6,"33,900","87,700",38.7,5.5,"34,400","88,600",38.8,5.5,"27,100","91,800",29.5,5.4,"34,700","90,600",38.3,5.6,"28,000","91,200",30.7,4.9,"30,900","91,900",33.6,5.2,"29,300","92,600",31.6,5.1,"27,100","95,400",28.4,5.0,"30,200","93,600",32.3,4.9,"28,100","97,400",28.8,5.1,22600,94800,23.9,5.4
E09000015,Harrow,"23,300","73,100",31.9,5.8,"22,900","73,600",31.2,5.7,"21,000","74,400",28.3,5.5,"22,500","74,600",30.1,5.2,"27,100","74,100",36.6,5.2,"20,300","75,900",26.7,5.4,"23,000","78,400",29.3,5.5,"25,400","78,600",32.4,5.1,"21,700","78,300",27.8,4.9,"27,300","78,500",34.8,5.1,"27,900","78,100",35.7,5.2,"25,000","77,700",32.1,5.4,"25,600","78,600",32.5,5.9,"19,700","77,000",25.6,5.5,"20,000","74,200",27.0,5.5,28300,77100,36.7,7.3
E09000016,Havering,"20,700","72,000",28.7,5.5,"22,000","73,900",29.7,5.5,"21,700","74,300",29.2,5.3,"20,700","73,500",28.1,5.2,"19,900","74,900",26.6,4.9,"23,200","76,900",30.1,5.3,"26,200","77,200",33.9,5.7,"17,800","77,700",22.9,5.5,"25,100","78,200",32.1,6.0,"23,800","78,100",30.5,5.9,"22,600","80,800",27.9,5.4,"19,300","79,800",24.2,5.1,"19,400","82,200",23.6,5.3,"19,300","81,500",23.7,5.2,"18,100","82,200",22.0,5.1,19600,82800,23.7,5.4
E09000017,Hillingdon,"24,900","82,600",30.1,5.1,"27,300","83,100",32.9,5.2,"24,400","84,100",29.1,5.3,"34,500","85,200",40.5,5.8,"28,500","85,900",33.2,5.1,"21,900","86,700",25.3,5.5,"27,300","87,400",31.2,5.7,"29,600","92,900",31.8,5.3,"28,200","93,500",30.1,5.5,"29,900","95,100",31.4,5.4,"30,100","95,800",31.4,5.2,"30,500","98,300",31.0,5.3,"27,600","96,500",28.6,5.8,"27,500","97,400",28.3,5.6,"27,900","99,300",28.1,5.4,32300,99200,32.6,6.9
E09000018,Hounslow,"23,400","74,800",31.3,4.8,"21,800","75,800",28.8,5.1,"23,500","79,100",29.7,5.0,"28,700","81,300",35.3,5.4,"30,000","81,500",36.9,5.5,"22,400","83,500",26.8,5.3,"24,900","84,600",29.4,5.3,"23,600","86,000",27.5,4.8,"26,100","85,900",30.3,5.3,"25,000","86,700",28.8,5.1,"27,200","88,200",30.9,5.6,"28,900","87,100",33.2,5.5,"29,500","87,600",33.7,6.4,"23,500","85,700",27.4,6.2,"26,100","88,900",29.3,7.5,32700,88900,36.8,8
E09000019,Islington,"26,600","66,700",39.9,5.2,"24,900","67,500",36.9,5.3,"24,800","68,800",36.1,5.3,"21,200","70,100",30.3,5.0,"22,500","71,600",31.4,5.0,"25,400","74,200",34.2,5.3,"24,700","73,700",33.6,5.2,"23,500","78,100",30.1,5.1,"22,900","80,500",28.4,5.4,"24,100","80,300",30.0,5.3,"26,200","81,800",32.0,5.5,"24,800","83,700",29.7,5.4,"24,100","85,000",28.4,5.3,"24,000","86,500",27.7,5.6,"18,300","85,600",21.4,5.7,19900,85300,23.4,5.8
